customerID,Churn_Probability,Risk_Level,Base_LTV,LTV_Segment,Retention_Priority,Recommended_Action
4825-FUREZ,0.0212712143901351,LOW RISK,850.5,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7534-BFESC,0.7485401138555114,HIGH RISK,2859.07435253189,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9138-EFSMO,0.3237197729460549,MEDIUM RISK,2966.148753382296,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
4227-OJHAL,0.14324806647120927,LOW RISK,4964.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
7279-NMVJC,0.11736295836792564,LOW RISK,747.6423076923076,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
8591-TKMZH,0.19092429150935797,LOW RISK,6554.9,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
9283-LZQOH,0.7003357455394594,HIGH RISK,2795.2054116737536,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
3594-IVHJZ,0.2550313937271851,LOW RISK,768.3057885581754,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
1945-XISKS,0.01971274330776152,LOW RISK,1316.55,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4359-INNWN,0.04370433866713478,LOW RISK,753.277802473908,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7649-SIJJF,0.025780820209064595,LOW RISK,5687.099999999999,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
9254-RBFON,0.4013999584630586,MEDIUM RISK,3704.398569771936,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0970-ETWGE,0.9007848901640956,HIGH RISK,3364.3903846153844,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7762-ONLJY,0.1014464375984127,LOW RISK,740.1283146501739,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6710-HSJRD,0.572715836899588,MEDIUM RISK,6960.099999999999,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
8873-GLDMH,0.8508289642164069,HIGH RISK,2774.5419308078854,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9907-SWKKF,0.7561244672080066,HIGH RISK,941.1276285272515,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
4658-HCOHW,0.6611035522737346,HIGH RISK,3862.192423656745,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
9330-VOFSZ,0.21143035631637663,LOW RISK,6648.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
2860-RANUS,0.7071269728588407,HIGH RISK,3223.5030150753764,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6234-PFPXL,0.5146530541010164,MEDIUM RISK,3602.959663703131,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7205-BAIAD,0.015289601220271194,LOW RISK,824.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
3858-VOBET,0.7455152469727399,HIGH RISK,2815.8688925396214,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5103-MHMHY,0.7150498028358787,HIGH RISK,1726.339901430228,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
6119-SPUDB,0.04660756082323912,LOW RISK,1759.5,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9389-ACWBI,0.7108934802750029,HIGH RISK,2628.0190664862776,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
3454-JFUBC,0.03311046960784724,LOW RISK,1360.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
1768-ZAIFU,0.8443230446613614,HIGH RISK,946.7631233088518,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
7017-VFULY,0.3364925528708613,MEDIUM RISK,755.1563007344415,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9221-OTIVJ,0.8237575282365722,HIGH RISK,3939.210852338616,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
2482-CZGBB,0.8169488088978898,HIGH RISK,2629.897564746811,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7018-WBJNK,0.7055055715207291,HIGH RISK,2941.7282759953614,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
3331-HQDTW,0.5105003848513807,MEDIUM RISK,4125.182180131426,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4695-VADHF,0.48721309687308617,MEDIUM RISK,2158.3945013529183,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
4086-WITJG,0.00834834831142795,LOW RISK,1398.7,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6297-NOOPG,0.21803015225715952,LOW RISK,7735.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
8777-PVYGU,0.1282559972109534,LOW RISK,3343.6,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
4378-MYPGO,0.18268007523919294,LOW RISK,7157.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
9313-CDOGY,0.11918919094938157,LOW RISK,744.8000000000001,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4121-AGSIN,0.04107238711117569,LOW RISK,1421.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
0432-CAJZV,0.8145236262901052,HIGH RISK,3407.595844607654,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9097-ZUBYC,0.4414118322514627,MEDIUM RISK,1833.4143022806336,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9638-JIQYA,0.7358422114538594,HIGH RISK,935.4921337456512,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
1024-GUALD,0.8109363996600355,HIGH RISK,931.7351372245844,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
8024-XNAFQ,0.07976743109433346,LOW RISK,7732.8,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
7587-RZNME,0.7707829434737955,HIGH RISK,1626.7794936219557,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
1346-UFHAX,0.6540772299229163,HIGH RISK,3005.597216853498,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6374-NTQLP,0.18489529749833988,LOW RISK,7495.2,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
6625-FLENO,0.025231620766863205,LOW RISK,1203.5,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
7375-WMVMT,0.14346559854505916,LOW RISK,6780.5,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
6910-HADCM,0.8566324692518785,HIGH RISK,2868.466843834557,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7401-JIXNM,0.040933744955331856,LOW RISK,4930.2,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
7338-ERIVA,0.08302370950267406,LOW RISK,1756.9499999999998,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
5376-DEQCP,0.8930307040374479,HIGH RISK,2652.439543873212,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0909-SELIE,0.04239779228582037,LOW RISK,4928.8,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
5419-KLXBN,0.6278307505536279,HIGH RISK,3349.3623985311174,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0365-TRTPY,0.45008808372055426,MEDIUM RISK,3426.380827212988,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
6712-OAWRH,0.7596185822275732,HIGH RISK,3428.259325473521,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
2428-ZMCTB,0.23724226412149765,LOW RISK,742.0068129107074,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
1963-VAUKV,0.5438926107505508,MEDIUM RISK,766.427290297642,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9381-NDKME,0.5043732680429349,MEDIUM RISK,1527.2190858136837,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
3729-OWRVL,0.3995857616281468,MEDIUM RISK,7172.75,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0895-LMRSF,0.3593504787257157,MEDIUM RISK,2438.2907421724008,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
2676-SSLTO,0.09730942216310395,LOW RISK,3241.3500000000004,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
8495-PRWFH,0.4131875853059215,MEDIUM RISK,2337.3,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
9030-QGZNL,0.034588213387649926,LOW RISK,783.333774642443,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
9972-NKTFD,0.25617923322524705,LOW RISK,2053.198598763046,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
7998-WNZEM,0.030083561962534824,LOW RISK,5722.599999999999,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
0979-PHULV,0.5569537892152895,MEDIUM RISK,6862.05,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6445-TNRXS,0.12650760426466798,LOW RISK,7799.6,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
9586-JGQKH,0.21998560085570662,LOW RISK,6745.6,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
3966-HRMZA,0.7848212496283952,HIGH RISK,2819.625889060688,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5498-IBWPI,0.19825729328715666,LOW RISK,3260.4,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
6823-SIDFQ,0.021067497962400927,LOW RISK,685.6518650947042,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2323-ARSVR,0.1581367812674922,LOW RISK,7440.349999999999,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
5468-BPMMO,0.17287248812926026,LOW RISK,901.6,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
0486-HECZI,0.5391921012117643,MEDIUM RISK,5321.25,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
2178-PMGCJ,0.6584213326463028,HIGH RISK,2618.6265751836104,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4660-IRIBM,0.6477472928106299,HIGH RISK,3302.399942017781,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9674-EHPPG,0.06107434566234167,LOW RISK,1858.4,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
5606-AMZBO,0.7077988709590264,HIGH RISK,2936.092781213761,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0665-XHDJU,0.3319172510123832,MEDIUM RISK,7156.8,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
5402-HTOTQ,0.47054321927511483,MEDIUM RISK,2077.6190761499806,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
8258-GSTJK,0.887246922519035,HIGH RISK,2892.887321221492,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
3787-TRIAL,0.5527194508973016,MEDIUM RISK,978.6975937379204,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6175-IRFIT,0.7880553652396253,HIGH RISK,2958.6347603401623,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6317-YPKDH,0.6234893534280991,HIGH RISK,1125.2204580595285,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
5692-FPTAH,0.7464634825505323,HIGH RISK,1705.67642056436,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
5373-SFODM,0.6517198794497223,HIGH RISK,3202.839534209509,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0868-VJRDR,0.20100299935001684,LOW RISK,6659.2,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
4079-VTGLK,0.2679948624308938,LOW RISK,2812.111896018554,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
1166-PQLGG,0.01802121221006042,LOW RISK,1407.6,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
5296-BFCYD,0.016403486911919632,LOW RISK,924.6,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
6568-POCUI,0.19284911693127033,LOW RISK,4284.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
2839-RFSQE,0.2596967084652597,LOW RISK,775.8197816003092,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2188-SXWVT,0.10919888243103898,LOW RISK,2066.34808658678,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
8849-GYOKR,0.34657488697579725,MEDIUM RISK,5753.7,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
3623-FQBOX,0.21981420447648148,LOW RISK,749.5208059528411,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2649-HWLYB,0.10191476097023662,LOW RISK,4949.75,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
0599-XNYDO,0.6636555780823443,HIGH RISK,2622.383571704677,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
2514-GINMM,0.9009972061138335,HIGH RISK,2986.812234248164,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
8401-EMUWF,0.2430929511091505,LOW RISK,2914.8,MEDIUM LTV,LOW,Continue regular engagement and monitor customer behavior.
5766-ZJYBB,0.5329776783001512,MEDIUM RISK,728.8573250869732,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
2604-IJPDU,0.6555874509650007,HIGH RISK,3627.3801410900655,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
2501-XWWTZ,0.7330369898912624,HIGH RISK,2637.4115577889447,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
6370-ZVHDV,0.01985716015574522,LOW RISK,1543.3,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
3027-YNWZU,0.028193278293931943,LOW RISK,1600.0,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4526-ZJJTM,0.5940943630860304,MEDIUM RISK,3321.184924623116,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
0440-QEXBZ,0.39110455299067537,MEDIUM RISK,2206.6,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
0330-IVZHA,0.7874294845264538,HIGH RISK,2628.0190664862776,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9758-MFWGD,0.3539274143434332,MEDIUM RISK,1435.1999999999998,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4229-CZMLL,0.8716674251495735,HIGH RISK,2813.990394279088,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
0742-MOABM,0.53955117133334,MEDIUM RISK,1880.3767587939697,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4277-BWBML,0.012283878173507665,LOW RISK,1436.4,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
5136-GFPMB,0.5406605547208876,MEDIUM RISK,4827.6,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
7520-HQWJU,0.22704261163256004,LOW RISK,4451.7,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
6304-IJFSQ,0.6868819727828585,HIGH RISK,1874.7412640123691,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
0297-RBCSG,0.36551849670283976,MEDIUM RISK,2455.197226517201,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
6013-BHCAW,0.08280155157821181,LOW RISK,4941.0,HIGH LTV,MAINTAIN,Maintain relationship and provide good customer experience.
4402-FTBXC,0.42246395306292,MEDIUM RISK,4849.2,HIGH LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
1471-GIQKQ,0.6639234128503834,HIGH RISK,1876.619762272903,LOW LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
4283-FUTGF,0.7586608846521596,HIGH RISK,2999.961722071898,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
9548-LERKT,0.01774347026883528,LOW RISK,742.0068129107074,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
8059-UDZFY,0.6773482922904267,HIGH RISK,3957.9958349439503,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
0410-IPFTY,0.6361749540775328,HIGH RISK,3150.2415829145725,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
2478-EEWWM,0.6024914293406823,HIGH RISK,2613.7,MEDIUM LTV,HIGH,Prioritize customer for retention campaign and consider a targeted offer.
4619-EVPHY,0.4546664732076657,MEDIUM RISK,3418.866834170854,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
2277-DJJDL,0.6507830264601766,HIGH RISK,5940.0,HIGH LTV,CRITICAL,Immediate retention intervention. Offer personalized incentive and proactive customer support.
2911-WDXMV,0.5987953196550945,MEDIUM RISK,3026.260697719366,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
3639-XJHKQ,0.3970920100547112,MEDIUM RISK,2276.739891766525,MEDIUM LTV,MEDIUM,Monitor customer and consider a suitable service or pricing offer.
8173-RXAYP,0.016880833707133207,LOW RISK,740.1283146501739,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
4537-CIBHB,0.07145857648479179,LOW RISK,760.7917955160417,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
5442-BXVND,0.17090637356374855,LOW RISK,911.0716563587166,LOW LTV,LOW,Continue regular engagement and monitor customer behavior.
